album_name,track_name,track_release,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key_mode
Red (Taylor's Version),State Of Grace (Taylor's Version),11/12/2021,0.594,0.713,-5.314,0.0503,3.28e-4,0,0.114,0.328,129.958,4,295413,A major
Red (Taylor's Version),Red (Taylor's Version),11/12/2021,0.516,0.777,-4.908,0.0375,0.00108,1.62e-6,0.0761,0.408,125.047,4,223093,C# minor
Red (Taylor's Version),Treacherous (Taylor's Version),11/12/2021,0.645,0.593,-6.506,0.0288,0.0344,1.27e-4,0.13,0.299,109.984,4,242720,D major
Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),11/12/2021,0.584,0.557,-6.371,0.0342,0.0129,0,0.0576,0.767,154.008,4,219760,F# major
Red (Taylor's Version),All Too Well (Taylor's Version),11/12/2021,0.44,0.528,-7.809,0.0317,0.0171,0.00203,0.234,0.132,185.972,4,329160,C major
Red (Taylor's Version),22 (Taylor's Version),11/12/2021,0.642,0.695,-5.62,0.0281,4.43e-4,1.02e-5,0.0753,0.642,103.984,4,230960,G major
Red (Taylor's Version),I Almost Do (Taylor's Version),11/12/2021,0.511,0.559,-6.587,0.0264,0.0167,0,0.113,0.248,145.88,4,244587,E major
Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),11/12/2021,0.567,0.686,-6.139,0.175,0.0317,1.86e-6,0.0732,0.716,172.014,4,193147,G major
Red (Taylor's Version),Stay Stay Stay (Taylor's Version),11/12/2021,0.693,0.681,-7.039,0.025,0.0848,0,0.0768,0.663,100.02,4,205787,C major
Red (Taylor's Version),The Last Time (Taylor's Version),11/12/2021,0.502,0.534,-5.954,0.0278,0.0399,0,0.0977,0.155,94.05,4,299080,D major
Red (Taylor's Version),Holy Ground (Taylor's Version),11/12/2021,0.622,0.809,-5.623,0.0638,0.0288,0.00218,0.109,0.511,156.894,4,202960,A major
Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),11/12/2021,0.601,0.406,-11.827,0.0275,0.622,9.19e-5,0.133,0.232,130.059,3,284773,G major
Red (Taylor's Version),The Lucky One (Taylor's Version),11/12/2021,0.686,0.571,-7.138,0.05,0.066,0,0.0608,0.538,117.889,4,240467,E major
Red (Taylor's Version),Everything Has Changed (Taylor's Version),11/12/2021,0.498,0.61,-5.098,0.0363,0.271,0,0.223,0.474,79.918,4,245427,F# major
Red (Taylor's Version),Starlight (Taylor's Version),11/12/2021,0.628,0.685,-5.864,0.0358,0.00324,0,0.18,0.605,126.014,4,220413,E major
Red (Taylor's Version),Begin Again (Taylor's Version),11/12/2021,0.519,0.527,-7.673,0.0274,0.075,0,0.132,0.267,78.915,4,238867,G major
Red (Taylor's Version),The Moment I Knew (Taylor's Version),11/12/2021,0.636,0.402,-7.855,0.031,0.0494,0,0.107,0.208,125.952,4,285280,G major
Red (Taylor's Version),Come Back...Be Here (Taylor's Version),11/12/2021,0.46,0.632,-6.031,0.0302,0.0158,0,0.0822,0.399,79.846,4,223333,E major
Red (Taylor's Version),Girl At Home (Taylor's Version),11/12/2021,0.691,0.736,-6.974,0.0326,0.00955,1.88e-5,0.101,0.612,125.089,4,220520,F major
Red (Taylor's Version),State Of Grace (Acoustic Version) [Taylor's Version],11/12/2021,0.445,0.131,-13.778,0.0564,0.663,1.57e-6,0.108,0.101,208.918,3,321640,G major
Red (Taylor's Version),Ronan (Taylor's Version),11/12/2021,0.623,0.279,-10.802,0.031,0.661,0,0.193,0.38,116.04,4,264253,C major
Red (Taylor's Version),Better Man (Taylor's Version) [From The Vault],11/12/2021,0.473,0.579,-5.824,0.0384,0.214,0,0.0877,0.255,73.942,4,297013,E major
Red (Taylor's Version),Nothing New (Taylor's Version) [From The Vault],11/12/2021,0.606,0.377,-9.455,0.0275,0.817,0,0.154,0.446,101.96,4,258813,C major
Red (Taylor's Version),Babe (Taylor's Version) [From The Vault],11/12/2021,0.584,0.743,-7.075,0.0931,0.0538,2.83e-6,0.121,0.746,167.844,4,224240,E major
Red (Taylor's Version),Message In A Bottle (Taylor's Version) [From The Vault],11/12/2021,0.622,0.791,-6.106,0.0535,0.00188,3.72e-6,0.083,0.494,115.915,4,225960,G major
Red (Taylor's Version),I Bet You Think About Me (Taylor's Version) [From The Vault],11/12/2021,0.391,0.715,-4.516,0.0495,0.167,0,0.183,0.473,149.654,3,285107,C major
Red (Taylor's Version),Forever Winter (Taylor's Version) [From The Vault],11/12/2021,0.611,0.552,-5.828,0.031,0.256,0,0.134,0.41,116.012,4,263533,G major
Red (Taylor's Version),Run (Taylor's Version) [From The Vault],11/12/2021,0.61,0.488,-6.918,0.0293,0.817,0,0.312,0.443,125.039,4,240227,D# major
Red (Taylor's Version),The Very First Night (Taylor's Version) [From The Vault],11/12/2021,0.678,0.733,-5.025,0.0281,0.00115,0,0.104,0.581,121.009,4,200280,G major
Red (Taylor's Version),All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],11/12/2021,0.631,0.518,-8.771,0.0303,0.274,0,0.088,0.205,93.023,4,613027,C major
1989,Welcome To New York,10/20/2014,0.789,0.634,-4.762,0.0323,0.0348,1.64e-6,0.302,0.658,116.992,4,212600,G major
1989,Blank Space,10/27/2014,0.76,0.703,-5.412,0.054,0.103,0,0.0913,0.57,95.997,4,231827,F major
1989,Style,10/27/2014,0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,4,231000,G major
1989,Out Of The Woods,10/14/2014,0.553,0.841,-6.937,0.0396,7.43e-4,1.19e-5,0.341,0.338,92.008,4,235800,G major
1989,All You Had To Do Was Stay,10/27/2014,0.605,0.725,-5.729,0.0323,0.00201,2.02e-5,0.101,0.539,96.97,4,193293,F major
1989,Shake It Off,8/18/2014,0.647,0.8,-5.384,0.165,0.0647,0,0.334,0.942,160.078,4,219200,G major
1989,I Wish You Would,10/27/2014,0.653,0.893,-5.966,0.0538,0.0158,4.95e-5,0.102,0.513,118.035,4,207440,C major
1989,Bad Blood,10/27/2014,0.646,0.794,-6.104,0.19,0.0885,6.16e-6,0.201,0.287,170.216,4,211933,G major
1989,Wildest Dreams,10/27/2014,0.55,0.688,-7.416,0.0897,0.0692,0.00144,0.106,0.465,139.997,4,220440,G# major
1989,How You Get The Girl,10/27/2014,0.765,0.656,-6.112,0.0504,0.00364,0.00868,0.0918,0.545,119.997,4,247533,F major
1989,This Love,10/27/2014,0.481,0.435,-8.795,0.0321,0.678,0,0.0928,0.107,143.95,4,250093,E major
1989,I Know Places,10/27/2014,0.602,0.755,-4.991,0.071,0.245,0,0.178,0.495,159.965,4,195707,C major
1989,Clean,10/27/2014,0.815,0.377,-7.754,0.0346,0.232,0,0.1,0.211,103.97,4,271000,E major
1989,Wonderland,10/27/2014,0.422,0.692,-5.447,0.0549,0.0493,2.57e-5,0.177,0.197,184.014,4,245560,D# major
1989,You Are In Love,10/27/2014,0.474,0.48,-8.894,0.0622,0.707,1.08e-4,0.0903,0.319,170.109,4,267107,D major
1989,New Romantics,10/27/2014,0.633,0.889,-5.87,0.0715,0.00463,4.58e-4,0.0658,0.584,121.956,4,230467,F major
reputation,...Ready For It?,10/24/2017,0.613,0.764,-6.509,0.136,0.0527,0,0.197,0.417,160.015,4,208187,D major
reputation,End Game,11/10/2017,0.649,0.589,-6.237,0.0558,0.00845,0,0.108,0.151,159.073,4,244827,D major
reputation,I Did Something Bad,11/10/2017,0.696,0.602,-6.156,0.159,0.0679,2.11e-5,0.0696,0.305,82.989,4,238253,C minor
reputation,Don't Blame Me,11/10/2017,0.615,0.534,-6.719,0.0386,0.106,1.76e-5,0.0607,0.193,135.917,4,236413,A minor
reputation,Delicate,11/10/2017,0.75,0.404,-10.178,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,4,232253,A minor
reputation,Look What You Made Me Do,8/24/2017,0.766,0.709,-6.471,0.123,0.204,1.41e-5,0.126,0.506,128.07,4,211853,A minor
reputation,So It Goes...,11/10/2017,0.574,0.61,-7.283,0.0732,0.122,1.1e-6,0.13,0.374,74.957,4,227907,D major
reputation,Gorgeous,10/20/2017,0.8,0.535,-6.684,0.135,0.0713,9.48e-6,0.213,0.451,92.027,4,209680,G major
reputation,Getaway Car,11/10/2017,0.562,0.689,-6.745,0.127,0.00465,2.23e-6,0.0888,0.351,172.054,4,233627,D major
reputation,King Of My Heart,11/10/2017,0.675,0.703,-7.902,0.0382,0.00882,2.21e-6,0.0391,0.314,110.01,4,214320,C major
reputation,Dancing With Our Hands Tied,11/10/2017,0.624,0.691,-6.686,0.196,0.0604,1.1e-5,0.138,0.284,160.024,4,211507,C minor
reputation,Dress,11/10/2017,0.719,0.469,-8.792,0.0533,0.0329,0,0.169,0.0851,120.085,4,230373,C major
reputation,This Is Why We Can't Have Nice Things,11/10/2017,0.567,0.789,-5.986,0.115,0.0156,0,0.382,0.438,163.96,4,207133,F major
reputation,Call It What You Want,11/3/2017,0.598,0.504,-9.874,0.0731,0.186,2.21e-4,0.34,0.252,163.954,4,203507,A major
reputation,New Year's Day,11/10/2017,0.661,0.151,-12.864,0.0354,0.921,0,0.13,0.23,94.922,4,235467,C major
Lover,I Forgot That You Existed,8/23/2019,0.664,0.316,-10.345,0.519,0.298,2.03e-6,0.0812,0.541,92.875,4,170640,F major
Lover,Cruel Summer,8/23/2019,0.552,0.702,-5.707,0.157,0.117,2.06e-5,0.105,0.564,169.994,4,178427,A major
Lover,Lover,8/16/2019,0.359,0.543,-7.582,0.0919,0.492,1.58e-5,0.118,0.453,68.534,4,221307,G major
