album_name,track_name,track_release,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key_mode
folklore,epiphany,7/24/2020,0.317,0.254,-13.679,0.0286,0.727,3.26e-4,0.0867,0.103,93.933,4,289747,C# major
folklore,betty,7/24/2020,0.595,0.376,-8.767,0.0256,0.589,0,0.0989,0.476,95.946,4,294520,C major
folklore,peace,7/24/2020,0.644,0.284,-12.879,0.0821,0.916,1.5e-5,0.0909,0.328,150.072,4,234000,F major
folklore,hoax,7/24/2020,0.676,0.178,-15.01,0.0394,0.964,7.9e-6,0.135,0.404,118.84,4,220040,G# major
folklore,the lakes,7/24/2020,0.313,0.258,-11.532,0.0383,0.842,1.3e-6,0.0948,0.268,179.947,4,211813,D major
evermore,willow,12/11/2020,0.392,0.574,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,4,214707,G major
evermore,champagne problems,12/11/2020,0.462,0.24,-12.077,0.0377,0.92,0,0.113,0.32,171.319,4,244000,C major
evermore,gold rush,12/11/2020,0.512,0.462,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,4,185320,A major
evermore,'tis the damn season,12/11/2020,0.575,0.434,-8.193,0.0312,0.735,6.59e-5,0.105,0.348,145.916,4,229840,F major
evermore,tolerate it,12/11/2020,0.316,0.361,-10.381,0.0488,0.878,2.67e-5,0.0797,0.221,74.952,5,245440,A major
evermore,"no body, no crime",12/11/2020,0.546,0.613,-7.589,0.0264,0.418,0,0.103,0.535,79.015,4,215627,G minor
evermore,happiness,12/11/2020,0.559,0.334,-10.733,0.0376,0.87,0,0.114,0.211,122.079,4,315147,B major
evermore,dorothea,12/11/2020,0.605,0.488,-8.322,0.0264,0.696,0,0.129,0.354,119.966,4,225880,E major
evermore,coney island,12/11/2020,0.537,0.537,-11.266,0.0617,0.819,9.04e-4,0.142,0.292,107.895,4,275320,G# major
evermore,ivy,12/11/2020,0.515,0.545,-9.277,0.0353,0.855,1.97e-5,0.0921,0.535,88.856,4,260440,D major
evermore,cowboy like me,12/11/2020,0.604,0.517,-9.014,0.0347,0.768,1.55e-4,0.123,0.511,127.967,4,275040,C major
evermore,long story short,12/11/2020,0.546,0.73,-7.704,0.0417,0.66,0.179,0.0972,0.573,157.895,4,215920,C major
evermore,marjorie,12/11/2020,0.535,0.561,-11.609,0.0484,0.876,1.36e-4,0.115,0.287,96.103,4,257773,F major
evermore,closure,12/11/2020,0.689,0.704,-10.813,0.245,0.835,4.83e-6,0.134,0.92,151.884,5,180653,A major
evermore,evermore,12/11/2020,0.39,0.27,-10.673,0.0308,0.937,0.00227,0.111,0.32,125.177,5,304107,C# major
evermore,right where you left me,12/11/2020,0.581,0.619,-6.524,0.0282,0.769,1.06e-4,0.117,0.645,137.915,4,245027,A# major
evermore,it's time to go,12/11/2020,0.592,0.41,-12.426,0.0397,0.801,1.39e-5,0.09,0.416,151.923,4,254640,C major
Midnights,Lavender Haze,10/21/2022,0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,4,202396,A# major
Midnights,Maroon,10/21/2022,0.658,0.378,-8.3,0.0379,0.0593,0,0.0976,0.0382,108.034,4,218271,G major
Midnights,Anti-Hero,10/21/2022,0.638,0.634,-6.582,0.0457,0.133,1.23e-6,0.152,0.519,96.953,4,200690,E major
Midnights,Snow On The Beach,10/21/2022,0.659,0.323,-13.425,0.0436,0.735,0.00321,0.116,0.154,110.007,4,256124,A major
Midnights,"You're On Your Own, Kid",10/21/2022,0.694,0.38,-10.307,0.0614,0.416,8.47e-6,0.126,0.376,120.044,4,194207,D major
Midnights,Midnight Rain,10/21/2022,0.636,0.377,-11.721,0.0708,0.71,6.51e-5,0.115,0.23,139.966,4,174783,C major
Midnights,Question...?,10/21/2022,0.751,0.502,-8.777,0.162,0.226,0,0.297,0.112,108.989,4,210557,G major
Midnights,Vigilante Shit,10/21/2022,0.87,0.279,-11.134,0.364,0.16,1.74e-5,0.121,0.16,79.996,4,164801,E minor
Midnights,Bejeweled,10/21/2022,0.7,0.55,-9.13,0.0653,0.0661,1.02e-4,0.091,0.412,164.003,4,194166,G major
Midnights,Labyrinth,10/21/2022,0.487,0.313,-15.434,0.0487,0.791,0.348,0.124,0.141,110.039,4,247962,C major
Midnights,Karma,10/21/2022,0.649,0.622,-7.054,0.0582,0.074,0,0.594,0.106,90.024,4,204852,G# major
Midnights,Sweet Nothing,10/21/2022,0.334,0.161,-14.875,0.0506,0.967,4.71e-5,0.115,0.396,176.747,4,188497,C major
Midnights,Mastermind,10/21/2022,0.661,0.352,-14.077,0.117,0.571,0.00147,0.0884,0.13,125.934,4,191039,E major
Midnights,The Great War,10/21/2022,0.573,0.741,-8.987,0.0353,0.219,2.23e-5,0.0842,0.554,96.016,4,240356,F major
Midnights,Bigger Than The Whole Sky,10/21/2022,0.422,0.235,-12.379,0.0568,0.826,0.00648,0.115,0.068,165.71,4,218503,F# major
Midnights,Paris,10/21/2022,0.7,0.509,-10.547,0.0789,0.112,3.27e-5,0.137,0.345,110.947,4,196259,G major
Midnights,High Infidelity,10/21/2022,0.646,0.529,-10.179,0.0864,0.723,0,0.0885,0.755,87.862,4,231475,A# major
Midnights,Glitch,10/21/2022,0.675,0.466,-9.738,0.201,0.361,0,0.11,0.347,140.864,4,148781,B minor
Midnights,"Would've, Could've, Should've",10/21/2022,0.483,0.84,-6.508,0.119,0.43,5.75e-4,0.146,0.55,157.979,4,260362,G major
Midnights,Dear Reader,10/21/2022,0.562,0.388,-12.088,0.0705,0.481,0.00145,0.117,0.159,107.747,4,225194,C major
Midnights,Hits Different,10/21/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midnights,"You're On Your Own, Kid (Strings Remix)",10/21/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midnights,Sweet Nothing (Piano Remix),10/21/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Taylor Swift Holiday Collection,Last Christmas,10/14/2007,0.702,0.77,-5.319,0.0372,0.31,0,0.149,0.685,116.009,4,208253,F major
The Taylor Swift Holiday Collection,Christmases When You Were Mine,10/14/2007,0.625,0.206,-12.568,0.0285,0.646,0,0.0915,0.392,79.466,4,184253,G major
The Taylor Swift Holiday Collection,Santa Baby,10/14/2007,0.759,0.509,-6.593,0.0271,0.159,0,0.153,0.75,107.948,4,158600,F major
The Taylor Swift Holiday Collection,Silent Night,10/14/2007,0.423,0.311,-7.581,0.0319,0.621,0,0.0987,0.134,119.546,3,209893,G major
The Taylor Swift Holiday Collection,Christmas Must Be Something More,10/14/2007,0.689,0.793,-4.838,0.0356,0.298,0,0.107,0.506,122.879,4,232147,G major
The Taylor Swift Holiday Collection,White Christmas,10/14/2007,0.562,0.392,-9.014,0.0287,0.587,0,0.224,0.514,145.792,4,154000,A major
Beautiful Eyes,Beautiful Eyes,7/15/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beautiful Eyes,Should've Said No (Alternate Version),7/15/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beautiful Eyes,Teardrops On My Guitar (Acoustic Version),7/15/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beautiful Eyes,Picture To Burn (Radio Edit),7/15/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beautiful Eyes,I'm Only Me When I'm With You,7/15/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beautiful Eyes,I Heart ?,6/23/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,American Girl,6/30/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Bad Blood (Remix),5/17/2015,0.654,0.655,-7.388,0.106,0.0294,0,0.139,0.221,170.16,4,200107,B minor
NA,Beautiful Ghosts,11/15/2019,0.382,0.219,-10.068,0.0677,0.85,0,0.0954,0.222,175.561,3,261053,E major
NA,Carolina,6/24/2022,0.476,0.189,-13.777,0.0329,0.904,4.52e-6,0.254,0.324,115.851,4,264439,B minor
NA,Christmas Tree Farm,12/6/2019,0.598,0.68,-4.505,0.0331,0.06,0,0.324,0.437,134.002,4,228027,G major
NA,Crazier,3/20/2009,0.452,0.544,-5.423,0.0277,0.0631,5.33e-6,0.104,0.158,133.042,3,191947,E major
NA,Eyes Open,3/27/2012,0.598,0.724,-7.226,0.0344,0.00667,0.00187,0.0839,0.299,137.116,4,244587,G major
NA,I Don't Wanna Live Forever,12/9/2016,0.734,0.442,-8.432,0.0557,0.0594,1.63e-5,0.213,0.0973,117.967,4,245653,C major
NA,Lover (Remix),11/13/2019,0.448,0.603,-7.176,0.064,0.433,0,0.0862,0.422,205.272,3,221307,G major
NA,Only The Young,1/31/2020,0.56,0.78,-4.895,0.0517,0.00244,0,0.0714,0.602,93.516,4,157507,F minor
NA,Ronan,9/8/2012,0.565,0.255,-10.152,0.0314,0.646,0,0.127,0.174,57.964,4,265307,C major
NA,Safe & Sound,12/26/2011,0.471,0.3,-10.807,0.028,0.883,1.05e-5,0.0698,0.289,144.319,4,240067,G major
NA,September,4/13/2018,0.641,0.444,-6.482,0.0239,0.412,0.00121,0.179,0.588,107.081,4,187824,F# major
NA,Sweeter Than Fiction,10/21/2013,0.71,0.614,-6.965,0.0366,0.00164,1.54e-4,0.0785,0.673,135.012,4,237640,F# major
NA,This Love (Taylor's Version),5/6/2022,0.47,0.494,-8.672,0.0349,0.302,0,0.0672,0.0524,144.039,4,250100,E major
NA,Today Was A Fairytale,1/19/2010,0.491,0.703,-4.5,0.0319,0.0307,5.72e-6,0.167,0.344,157.988,4,242480,G major
NA,Wildest Dreams (Taylor's Version),9/17/2021,0.583,0.67,-7.289,0.0646,0.0374,1e-4,0.126,0.498,140.061,4,220433,G# major
NA,Babe,4/20/2018,0.535,0.777,-3.292,0.207,0.0187,1.62e-6,0.136,0.664,171.72,4,215107,E major
NA,Birch,8/27/2021,0.644,0.639,-13.545,0.0466,0.889,0.143,0.0993,0.255,92.012,4,330067,G# major
NA,Both Of Us,5/22/2012,0.677,0.722,-7.088,0.0522,0.0213,0,0.207,0.0483,125.091,4,216120,G major
NA,Gasoline (Remix),2/19/2021,0.658,0.717,-4.257,0.0633,0.0846,0.0022,0.12,0.595,133.074,4,193373,C# minor
NA,Half Of My Heart,6/21/2010,0.681,0.593,-9.327,0.0251,0.435,1.17e-4,0.106,0.731,115.058,4,250373,F major
NA,Highway Don't Care,3/25/2013,0.47,0.79,-5.352,0.039,0.0216,0,0.0863,0.495,158.061,4,276880,D major
NA,Renegade,7/2/2021,0.532,0.708,-8.121,0.0505,0.435,0.0236,0.107,0.586,167.977,4,254467,C major
NA,The Joker And The Queen,2/11/2022,0.528,0.309,-7.398,0.0329,0.924,2.1e-6,0.282,0.307,133.83,4,185422,C major
NA,Three Sad Virgins,11/13/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Two Is Better Than One,10/19/2009,0.521,0.702,-5.189,0.0331,0.189,0,0.0962,0.25,127.976,4,242840,C major
